id,limit,classify,id_building,isActive
CT101,80,LT,2,1
CT102,80,LT,2,1
CT103,50,LT,2,1
CT104,50,LT,2,1
CT201,30,LT,2,1
CT202,20,LT,2,1
CT203,20,LT,2,1
CT301,40,LT,2,1
CT302,40,LT,2,1
CT303,40,LT,2,1
HD101,80,LT,1,0
HD102,80,LT,1,1
HD103,80,LT,1,1
HD104,80,LT,1,1
HD201,80,LT,1,1
HD202,80,LT,1,1
HD203,80,LT,1,1
HD204,80,LT,1,0
HD205,80,LT,1,0
HD301,180,LT,1,1
HD303,180,LT,1,0
HD305,80,LT,1,0
KTPMAY,40,LT,5,0
P1,50,TH,4,1
P2,50,TH,4,1
P3,80,TH,4,1
P4,50,TH,4,1
PV219,70,LT,5,0
PV223,85,LT,5,0
PV225,119,LT,5,0
PV227,75,LT,5,0
PV315,70,LT,5,0
PV319,70,LT,5,0
PV323,130,LT,5,0
PV325,130,LT,5,0
PV333,95,LT,5,0
PV335,95,LT,5,0
PV337,95,LT,5,0
PV400A,125,LT,5,0
PV400B,125,LT,5,0
RD101,70,LT,6,0
RD102,70,LT,6,0
RD103,100,LT,6,0
RD104,100,LT,6,0
RD105,85,LT,6,0
RD106,85,LT,6,0
RD200,200,LT,6,0
RD201,70,LT,6,0
RD202,70,LT,6,0
RD203,85,LT,6,0
RD204,85,LT,6,0
RD301,70,LT,6,0
RD302,70,LT,6,0
RD303,85,LT,6,0
RD304,85,LT,6,0
RD305,85,LT,6,0
RD401,70,LT,6,0
RD402,70,LT,6,0
RD403,85,LT,6,0
RD404,85,LT,6,0
RD501,70,LT,6,0
RD502,70,LT,6,0
RD503,85,LT,6,0
RD504,85,LT,6,0
TV101,170,LT,3,1
TV102,170,LT,3,1
TV103,190,LT,3,1
TV201,200,LT,3,1
TV202,190,LT,3,1
TV301,190,LT,3,1
TV302,170,LT,3,0
TV303,170,LT,3,0
